"","year","pair","week","weight"
"142",2023,"Pair D",29,0.428571428571429
"143",2023,"Pair D",30,0.142857142857143
"144",2023,"Pair D",32,0.142857142857143
"145",2023,"Pair E",12,0.714285714285714
"146",2023,"Pair E",13,0.714285714285714
"147",2023,"Pair E",14,0.714285714285714
"148",2023,"Pair E",15,0.428571428571429
"149",2023,"Pair E",16,0.714285714285714
"150",2023,"Pair E",17,1
"151",2023,"Pair E",18,0.857142857142857
"152",2023,"Pair E",19,0.857142857142857
"153",2023,"Pair E",20,1
"154",2023,"Pair E",21,0.857142857142857
"155",2023,"Pair E",22,0.428571428571429
"156",2023,"Pair E",25,0.857142857142857
"157",2023,"Pair E",26,0.857142857142857
"158",2023,"Pair E",27,0.571428571428571
"159",2023,"Pair E",28,0.857142857142857
"160",2023,"Pair E",29,0.428571428571429
"161",2023,"Pair E",31,0.142857142857143
"162",2023,"Pair E",32,0.285714285714286
"163",2023,"Pair F",12,0.714285714285714
"164",2023,"Pair F",13,0.857142857142857
"165",2023,"Pair F",14,1
"166",2023,"Pair F",15,0.857142857142857
"167",2023,"Pair F",16,0.857142857142857
"168",2023,"Pair F",17,1
"169",2023,"Pair F",18,1
"170",2023,"Pair F",19,1
"171",2023,"Pair F",20,1
"172",2023,"Pair F",21,1
"173",2023,"Pair F",22,0.857142857142857
"174",2023,"Pair F",23,0.571428571428571
"175",2023,"Pair F",24,0.428571428571429
"176",2023,"Pair F",25,0.714285714285714
"177",2023,"Pair F",26,0.857142857142857
"178",2023,"Pair F",27,1
"179",2023,"Pair F",28,0.428571428571429
"180",2023,"Pair F",29,0.428571428571429
"181",2023,"Pair F",31,0.571428571428571
"182",2023,"Pair F",32,0.571428571428571
"183",2023,"Pair F",36,0.142857142857143
"184",2023,"Pair F",37,0.142857142857143
